postcode,locality,state,sa3name,sa4name
5277,PENOLA,SA,Limestone Coast,South Australia - South East
5277,PLEASANT PARK,SA,Limestone Coast,South Australia - South East
5277,TARPEENA,SA,Limestone Coast,South Australia - South East
5278,KALANGADOO,SA,Limestone Coast,South Australia - South East
5278,KRONGART,SA,Limestone Coast,South Australia - South East
5278,MOERLONG,SA,Limestone Coast,South Australia - South East
5278,WEPAR,SA,Limestone Coast,South Australia - South East
5279,KOORINE,SA,Limestone Coast,South Australia - South East
5279,MOUNT BURR,SA,Limestone Coast,South Australia - South East
5279,MOUNT MCINTYRE,SA,Limestone Coast,South Australia - South East
5279,SHORT,SA,Limestone Coast,South Australia - South East
5279,TRIHI,SA,Limestone Coast,South Australia - South East
5279,WATTLE RANGE EAST,SA,Limestone Coast,South Australia - South East
5280,BEACHPORT,SA,Limestone Coast,South Australia - South East
5280,CANUNDA,SA,Limestone Coast,South Australia - South East
5280,CLAY WELLS,SA,Limestone Coast,South Australia - South East
5280,FURNER,SA,Limestone Coast,South Australia - South East
5280,GERMAN CREEK,SA,Limestone Coast,South Australia - South East
5280,GERMAN CREEK,SA,Limestone Coast,South Australia - South East
5280,GERMAN FLAT,SA,Limestone Coast,South Australia - South East
5280,HATHERLEIGH,SA,Limestone Coast,South Australia - South East
5280,KANGAROO INN,SA,Limestone Coast,South Australia - South East
5280,MAGAREY,SA,Limestone Coast,South Australia - South East
5280,MILLICENT,SA,Limestone Coast,South Australia - South East
5280,RENDELSHAM,SA,Limestone Coast,South Australia - South East
5280,ROCKY CAMP,SA,Limestone Coast,South Australia - South East
5280,SEBASTOPOL,SA,Limestone Coast,South Australia - South East
5280,SOUTHEND,SA,Limestone Coast,South Australia - South East
5280,TANTANOOLA,SA,Limestone Coast,South Australia - South East
5280,THORNLEA,SA,Limestone Coast,South Australia - South East
5280,WATTLE RANGE,SA,Limestone Coast,South Australia - South East
5290,MOUNT GAMBIER,SA,Limestone Coast,South Australia - South East
5290,MOUNT GAMBIER DC,SA,Limestone Coast,South Australia - South East
5291,ALLENDALE EAST,SA,Limestone Coast,South Australia - South East
5291,BLACKFELLOWS CAVES,SA,Limestone Coast,South Australia - South East
5291,BURRUNGULE,SA,Limestone Coast,South Australia - South East
5291,CANUNDA,SA,Limestone Coast,South Australia - South East
5291,CAPE DOUGLAS,SA,Limestone Coast,South Australia - South East
5291,CAROLINE,SA,Limestone Coast,South Australia - South East
5291,CARPENTER ROCKS,SA,Limestone Coast,South Australia - South East
5291,CAVETON,SA,Limestone Coast,South Australia - South East
5291,COMPTON,SA,Limestone Coast,South Australia - South East
5291,DISMAL SWAMP,SA,Limestone Coast,South Australia - South East
5291,DONOVANS,SA,Limestone Coast,South Australia - South East
5291,EIGHT MILE CREEK,SA,Limestone Coast,South Australia - South East
